Algoritmo,Ciclo,Ticks
1,1,52.875
1,1,8.25
1,1,11.875
1,1,9.0
1,1,7.875
1,1,9.0
1,1,9.375
1,1,11.875
1,1,7.875
1,1,12.25
1,1,13.0
1,1,12.25
1,1,13.375
1,1,12.625
1,1,7.5
1,1,13.375
1,1,11.875
1,1,13.0
1,1,12.25
1,1,62.5
1,1,10.0
1,1,8.25
1,1,13.0
1,1,8.25
1,1,7.125
1,1,8.75
1,1,9.5
1,1,8.375
1,1,9.5
1,1,8.0
1,1,12.25
1,1,10.75
1,1,9.5
1,1,10.25
1,1,9.125
1,1,13.375
1,1,11.875
1,1,8.375
1,1,9.125
1,1,9.5
1,1,9.125
1,1,9.5
1,1,10.75
1,1,8.375
1,1,8.75
1,1,8.75
1,1,8.75
1,1,8.0
1,1,8.375
1,1,9.875
1,1,8.375
1,1,9.125
1,1,10.625
1,1,8.375
1,1,9.125
1,1,12.25
1,1,10.25
1,1,10.625
1,1,11.0
1,1,9.5
1,1,9.5
1,1,13.0
1,1,10.25
1,1,9.875
1,1,8.75
1,1,12.625
1,1,11.75
1,1,12.625
1,1,10.625
1,1,11.0
1,1,11.375
1,1,12.625
1,1,11.375
1,1,13.75
1,1,12.125
1,1,13.0
1,1,11.375
1,1,13.75
1,1,9.875
1,1,11.375
1,1,12.625
1,1,11.375
1,1,12.625
1,1,13.75
1,1,13.0
1,1,10.25
1,1,11.0
1,1,11.0
1,1,8.75
1,1,12.25
1,1,11.875
1,1,9.125
1,1,11.375
1,1,8.375
1,1,10.625
1,1,11.0
1,1,11.875
1,1,8.375
1,1,11.0
1,1,17.125
1,1,6.0
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,8.875
1,1,6.0
1,1,8.875
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,8.875
1,1,6.0
1,1,8.875
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,8.875
1,1,6.0
1,1,8.875
1,1,8.875
1,1,6.0
1,1,8.875
1,1,8.875
1,1,6.0
1,1,6.0
1,1,8.875
1,1,6.0